title,subtitle,raw_text,url,id,mode,location,price,details,eligibility,active,reviewed,reviewed_at,enhanced_description,valid_url,pending,application_due_dates,program_dates,grade_level
ExploraVision,Toshiba,ExploraVision is a science and technology competition that invites students to develop innovative ideas and projects that address future challenges. Participants work in teams to create projects that incorporate scientific and technological advancements. The competition aims to inspire creativity and problem-solving skills among students. Winners receive recognition and prizes for their innovative solutions. ExploraVision encourages students to envision and work on groundbreaking ideas for future technologies.,https://www.exploravision.org/what-exploravision/,02e07910-1159-47b8-b646-87fda6985e25,"[""Remote""]","[""All States""]","[""Free""]","[""Competition"",""STEM"",""Private""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
AMC 10,MAA,"The AMC 10 provides students with an opportunity to develop their problem-solving skills. It serves as the first step in qualifying for the USA team in prestigious international mathematics competitions, including the International Mathematical Olympiad.

Description: The AMC 10 is a 25-question, 75-minute multiple-choice competition designed for students in grades 10 and below. The content covers mathematical topics such as elementary algebra, basic geometry, area and volume formulas, elementary number theory, and elementary probability. Advanced topics like trigonometry, advanced algebra, and advanced geometry are excluded.

The AMC 10 offers two versions of the test, the 'A' and 'B' competitions. Competition managers can choose the date that best fits their schedule or have their students participate in both.

For: High school students in grades 10 and below, with a maximum age of under 17.5 years on the day of the competition.

When: Annually in November on the same dates as AMC 12. Students may not take both AMC 10 and AMC 12 on the same day.",https://maa.org/amcreg/,02f2ced1-5d28-48f1-9f1e-fe44114e5b33,"[""Remote""]","[""All States""]","[""Registration Fee""]","[""Competition"",""Mathematics""]","[""Domestic Students""]",true,true,2026-01-05 19:09:24.316+00,"The AMC 10 is a 25-question, 75-minute multiple-choice competition designed to develop problem-solving skills in students in grades 10 and below who are under 17.5 years of age. This exam serves as the first step for qualifying for prestigious international mathematics competitions, such as the International Mathematical Olympiad, by testing knowledge in elementary algebra, basic geometry, number theory, and probability while excluding advanced topics like trigonometry. Participants can choose between two versions of the test, labeled 'A' and 'B,' and may participate in both, though they are prohibited from taking the AMC 12 and the AMC 10 concurrently.",true,false,"[{""label"":""Early Bird"",""due_date"":""2025-09-30""},{""label"":""Regular"",""due_date"":""2025-10-15""},{""label"":""Late"",""due_date"":""2025-10-28""}]","[{""label"":""AMC 10 A Competition Date"",""end_date"":null,""start_date"":""2025-11-05""},{""label"":""AMC 10 B Competition Date"",""end_date"":null,""start_date"":""2025-11-13""}]",
STEM @GTRI,Georgia Tech,"Georgia high school students who are at least 16 years old may be eligible to apply for five-week paid summer internships hosted in GTRI labs. Interns work on projects in GTRI laboratories and the GTRI Warner Robins field office with the goal of providing students with real-world experiences in science and engineering research. GTRI researchers mentor students by working with them on projects to engage them in first-hand STEM experience, with the goals of helping bridge the gap in Georgia’s STEM workforce by creating awareness of STEM career opportunities.",https://gtri.gatech.edu/stem/high-school-summer-internship,032bf7c7-7784-435f-bf7b-f704c6627fc5,"[""In-Person""]","[""Georgia""]","[""Paid""]","[""Internship"",""STEM"",""University""]","[""Domestic Students""]",true,false,,,,false,[],[],
Advanced Physics Summer Program,UMD,"This program, designed for high school students (rising 9th-12th graders), will include awesome experiences you can use in the future! Participants will get to solder, code, learn about career options, and more. With interesting research, speakers, lab tours, STEM professional development, and networking activities the Advanced Physics Summer Program is a blast. The Advanced Physics Summer Program jumps into the exciting world of modern physics. Participants learn about topics ranging from relativity to antimatter, biophysics, quantum mechanics, physical uncertainty, quantum computing and more. The program is filled with hands-on lab activities, visits to cutting-edge research labs, discussions with professors and graduate students who conduct modern physics research and a project to make the discussions of modern topics tangible. Students are introduced to topics that they will likely not be offered in their high school classes, from the thought experiments of Einstein to current applications in code-breaking.",https://umdphysics.umd.edu/events/summer-programs/advanced-summer-girls-program.html,033ecce1-87f3-4c03-9fe8-4583cb7ed204,"[""In-Person""]","[""Indiana""]","[""Paid""]","[""Program"",""Physics"",""University""]","[""International Students"",""Domestic Students""]",false,false,,,true,false,[],[],
Global Youth Program - Moneyball Experience,University of Pennsylvania Wharton,"Moneyball Experience is a two-week, in-person program hosted at our Wharton San Francisco Campus, broadly introducing students to statistics through a sports lens. Hosted by the Wharton School of the University of Pennsylvania and the Wharton Sports Analytics and Business Initiative (WSABI), this program welcomes talented students intrigued by statistics. Students applying to this program should have strong math skills and an interest in sports. 

The summer experience serves as an entrée into the sports statistics world as it is not heavily focused on computing but rather the fundamental principles of sports statistics. Throughout the program, students will work collaboratively with peers to complete a final data analytics project, which may be featured in the Wharton Sports Analytics Journal.

Students will hear from guest speakers with real-world experience in sports analytics. Past speakers have included Lauren Poe, Developer at ESPN Analytics. Alec Halaby, Assistant GM, Philadelphia Eagles, and Annie Duke, Professional Poker Player, Writer. Experience field trips may include some combination of the following: The Chase Center – Golden State Warriors and Valkyries, Oracle Park – SF Giants, Levi’s Stadium -SF 49ers, and Bay FC of the NWSL.  Wharton Professor Adi Wyner and WSABI Sr. Fellow Paul Sabin teach the program.

Each summer, Moneyball Experience students:  

Master data fundamentals to create and interpret basic statistical tools for summarizing and describing data. 
Apply probability concepts to understand their implications in sports and everyday life. 
Build data interpretation skills by comparing statistical results and identifying trends or patterns in real-world sports data. 
Analyze relationships through regression, using critical thinking to interpret data while recognizing potential biases or limitations. 
Explore San Francisco and the Bay Area with focused trips and site visits to learn directly from industry experts and gain insights into the world of sports analytics. 
These skills prepare students to make informed, data-driven decisions using statistical tools and methods applicable to sports analytics and beyond.",https://globalyouth.wharton.upenn.edu/programs-courses/moneyball-sf/,03748a67-9d1b-40a3-a935-5ce76d46fa76,"[""In-Person""]","[""California""]","[""Paid""]","[""Business"",""University"",""Computer Science""]","[""International Students"",""Domestic Students""]",true,true,2026-01-06 19:58:32.579+00,"The Moneyball Experience is a two-week in-person program hosted by the Wharton School of the University of Pennsylvania and the Wharton Sports Analytics and Business Initiative (WSABI) that introduces students to statistics through a sports lens. Targeted at students with strong math skills, the curriculum emphasizes fundamental principles like probability, data interpretation, and regression analysis to build data-driven decision-making skills. Led by Professor Adi Wyner and Senior Fellow Paul Sabin, the program features insights from industry guest speakers—including experts from ESPN and professional sports teams—and field trips to various athletic organizations. Students conclude the experience by collaborating on a final data analytics project that may be featured in the Wharton Sports Analytics Journal, providing a practical introduction to the world of sports statistics.",true,false,"[{""label"":""Priority Deadline"",""due_date"":""2026-01-28""},{""label"":""Final Deadline"",""due_date"":""2026-03-18""}]","[{""label"":""Session 1"",""end_date"":""2026-07-31"",""start_date"":""2026-07-19""}]","[""Sophomore"",""Junior""]"
Music Technology & Production Camp,Oregon State,"This one-week camp focuses on approaches to music production for children 13-18. Whether they are beginners or experienced creators, campers will have opportunities to learn and/or develop their craft through working on solo and collaborative projects in such areas as songwriting, audio production, sound design, and effects processing. Each camper will create at least six different audio projects throughout the week. The camp will culminate with a concert featuring original work created during the camp.",https://liberalarts.oregonstate.edu/svpda/svpda-academy/precollege-summer-programs/music-technology-and-production-camp,03798396-5096-4fd8-8500-da9669dbdf8d,"[""In-Person""]","[""Oregon""]","[""Paid""]","[""Program"",""Art"",""University""]","[""Domestic Students""]",true,false,,,,false,[],[],
Reconstructive Surgery Internship,Stanford STARS,"The 7-week STaRS Internship is for high school and community college students considering careers in biomedical and biological sciences and/or healthcare. Students must be age 16 or older at the time of the program to apply. Students under 18 will require signed parental consent forms to work in the laboratory.  Interns are expected to commit to the entire 7-week internship. If your summer plans do not allow for a continuous 7-week commitment, we encourage you to apply during a summer when you can meet that requirement. Please, no exceptions.",https://plasticsurgery.stanford.edu/research/stars/Apply.html,03c3e7db-38f8-4fa2-b5c7-c9b58b9a5abb,"[""In-Person""]","[""California""]","[""Free""]","[""Internship"",""Medicine"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
Summer Science & Engineering Program,Smith College,"The Smith Summer Science and Engineering Program (SSEP) is designed for exceptional high school students with strong interests in science and engineering. Engage in lab-based courses with Smith faculty in life and physical sciences and in engineering. Established in 1990, the program annually serves more than 100 students. Since its inception, nearly 1,800 students have participated, representing 46 states and 53 countries. After the program, participants return to high school better prepared to tackle tough science courses and understand what to expect in college.

Smith College is among the top-rated liberal arts colleges in the United States and one of the nation’s largest colleges dedicated to educating women. In 1999, Smith became the first women’s college in the nation to establish its own program in engineering science, the Picker Engineering Program.

SSEP courses emphasize asking questions and learning by doing, not only by listening and watching. Students choose two-week courses; in these, groups of up to 17 students work alongside Smith faculty members, assisted by undergraduate interns. Informal lectures in the lab and out in the field encourage students to ask questions, and they learn to conduct actual experiments.

Most of the work is carried out as a cooperative team effort, with ample opportunities for individual contributions. SSEP participants learn how scientists and engineers formulate questions, work on sophisticated scientific instruments and develop valuable critical thinking and analytical skills.

Smith Precollege Programs are open to students entering 9th–12th grade in the fall. Smith is a residential women’s college. Our Precollege Programs offer a Smith experience for high school students.",https://www.smith.edu/academics/precollege-programs/summer-science-engineering,03f9d832-f3d6-4e3e-b4ad-951e99862247,"[""In-Person""]","[""Massachusetts""]","[""Paid"",""Registration Fee""]","[""STEM"",""University"",""Engineering""]","[""Domestic Students"",""International Students""]",true,true,2026-01-07 23:51:57.173+00,"The Smith Summer Science and Engineering Program (SSEP) is an intensive academic experience designed for exceptional high school students entering grades 9 through 12 who possess strong interests in the life sciences, physical sciences, and engineering. Participants enroll in two-week, lab-based courses where small groups of up to 17 students work closely with faculty members and undergraduate interns to conduct hands-on experiments using sophisticated scientific instruments. This cooperative program emphasizes a ""learning by doing"" philosophy, utilizing informal lectures and team-based research to help students develop critical thinking skills and prepare for the transition to college-level coursework. Established in 1990 at a premier women’s liberal arts institution, the program has served nearly 1,800 students from around the globe, providing a rigorous environment for young women to explore complex scientific questions and analytical methodologies.",true,false,"[{""label"":""Priority"",""due_date"":""2026-02-01""},{""label"":""Tuition Assistance"",""due_date"":""2026-03-01""},{""label"":""International student application deadline"",""due_date"":""2026-03-01""},{""label"":""Regular deadline"",""due_date"":""2026-05-01""}]","[{""label"":""Session 1"",""end_date"":""2026-07-17"",""start_date"":""2026-07-04""},{""label"":""Session 2"",""end_date"":""2026-08-01"",""start_date"":""2026-07-19""}]","[""Freshman"",""Sophomore"",""Junior"",""Senior""]"
University of Delaware,Level Up,Level Up is a unique program designed for high school students to enhance their English language skills through immersive experiences. Participants engage in interactive activities that promote language acquisition and cultural understanding while developing confidence in their communication abilities.,https://sites.udel.edu/eli/programs/levelup/,04517045-fd43-4c3f-8cc2-775735d38005,"[""In-Person""]","[""Delaware""]","[""Paid""]","[""Program"",""Mixed"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
Research in Science & Engineering Program,Boston University,"If you’re passionate about the sciences and are a domestic student currently in your junior year of high school, we invite you to apply for the Research in Science & Engineering (RISE) program. You will spend six weeks at BU conducting university laboratory research with some of the nation’s brightest scientific minds while advancing your STEM knowledge and skills.",https://www.bu.edu/summer/high-school-programs/rise-internship-practicum/how-to-apply/,051a7e05-0adb-4f7c-b10a-137fd70f4955,"[""In-Person""]","[""Massachusetts""]","[""Paid""]","[""Program"",""STEM"",""University""]","[""Domestic Students""]",true,false,,,,false,[],[],
Stanford Anesthesia Summer Institute,Stanford SASI,"Our signature two-week on-campus program offers a comprehensive introduction to clinical medicine, science, and technology. Stanford faculty guide you through a rich curriculum with hands-on experiences, interactive simulations, and a real-world capstone project.",https://med.stanford.edu/anesthesia/education/SASI/SASI3.html,052748f9-4606-46af-99ee-663d13b5cc34,"[""In-Person""]","[""California""]","[""Paid""]","[""Program"",""Medicine"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
User Experience Design,NYU,"Explore the intersection between art, design, and technology at NYU this summer! User Experience (UX) design impacts how we interact with digital products and services. Good UX design results in interactions that are highly intuitive, fun to use, and useful. Through the summer program in User Experience Design, you will gain the foundational principles, skills and best practices for UX design and learn how to apply design thinking to come up with solutions to a variety of challenges. Students work collaboratively to frame problems, ideate solutions using different tools and materials, and develop products, services, or experiences that solve those problems for users.",https://www.nyu.edu/admissions/high-school-and-middle-school-programs/high-school-programs/user-experience-design.html,066d6faf-623f-4c36-adf1-8cff6a2c118b,"[""In-Person""]","[""New York""]","[""Paid""]","[""Program"",""STEM"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
UCSF,Summer Researchers in Global Health,This program offers undergraduate students the opportunity to engage in summer research projects focused on global health. Participants will work closely with faculty mentors and contribute to meaningful research that addresses health disparities and challenges in global health settings.,https://globalhealthsciences.ucsf.edu/education/global-reach/summer-researchers-in-global-health/,06b2c9ae-2b21-4c35-adbd-635c4f15437f,"[""In-Person""]","[""California""]","[""Paid""]","[""Research"",""Medicine"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
Camp Arch,TAMU,"The School of Architecture hosts Camp ARCH, a one-week summer program for high-achieving high school students. Camp ARCH combines academic instruction with social activities so you can experience what it would be like to be a full-time student in one of our programs.",https://www.arch.tamu.edu/academics/high-school-outreach/camp-arch/,06c71934-4fb1-40a9-9fb3-fd7906eba2b6,"[""In-Person""]","[""Texas""]","[""Paid""]","[""Program"",""Mixed"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
Urban Journalism Workshop,NYU,"The Urban Journalism Workshop at New York University is designed to develop the next generation of great journalists. A diverse group of 20 high school juniors and seniors attending schools throughout the five boroughs of New York City or in nearby suburbs of the Tri-State metropolitan region (New York, New Jersey and Connecticut only) will come together to spend 10 days attending an intensive and rewarding journalism “boot-camp” held at the Arthur L. Carter Journalism Institute at New York University.",https://www.nyu.edu/admissions/high-school-and-middle-school-programs/high-school-programs/NYU-Urban-Journalism-Workshop.html,06dd3bff-3307-4a5b-9df5-856015b71208,"[""In-Person""]","[""New York""]","[""Free""]","[""Program"",""Humanities"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
Trig-Star Competition,NSPS,The National Trigonometry Competition (TrigStar) invites high school students to demonstrate their skills in trigonometry through problem-solving challenges. Participants compete in individual and team events to test their understanding of trigonometric concepts. The competition aims to promote mathematical excellence and enhance trigonometry education. Winners receive recognition and awards for their performance. The event supports the development of trigonometry skills and problem-solving abilities.,https://nsps.us.com/general/custom.asp?page=TrigStar,070a6958-7575-4d96-94ef-19fe15a90907,"[""Remote""]","[""All States""]","[""Free""]","[""Competition"",""Mathematics"",""Private""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
Harvard University,Summer Youth Employment Program,The Summer Youth Employment Program provides young people with opportunities to gain work experience in various fields while earning a paycheck. Participants are placed in jobs that help them develop skills and gain exposure to different career paths in a supportive environment.,https://hr.harvard.edu/summer-youth-employment-program,07510560-1d47-4e79-8e51-c57901292e18,"[""In-Person""]","[""Massachusetts""]","[""Free""]","[""Program"",""Mixed"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
Youth Entrepreneurship,Stony Brook,"The Institute for STEM Education (I-STEM) is a major interdisciplinary STEM education center on the campus and has established a wide range of academic year and summer activities for faculty, graduate students, undergraduates and K-12 students and teachers. I-STEM’s mission is to provide comprehensive, high-quality STEM education that advances knowledge in the field. We work collaboratively across all levels of the educational spectrum to recognize, attract, nurture and develop talent. We expect that our faculty and the graduates of our programs will be leaders in the STEM education field through their production of new knowledge; the publication of their research in the leading journals; their presentations at state, national and international conferences and their influence upon key STEM policy initiatives. We believe that a sustained commitment to excellence in STEM education is imperative for the university and the nation.",https://www.stonybrook.edu/commcms/cef/Program/SummerCamp.php,078e2868-0e70-43f9-bc87-88f40ee641fe,"[""In-Person""]","[""New York""]","[""Paid""]","[""Program"",""Business"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
"Democracy, Peace & Conflict Academy",Georgetown University HOYA Summer High School Sessions,"In the Democracy, Peace & Conflict Academy, you’ll look in-depth at how democratic societies deal with conflict through a blend of lectures and interactive exercises. You’ll learn about the important role of elections in the peaceful transfer of power and the causes of electoral violence. You’ll debate why democracies endure and why they erode as you investigate the role of leaders, civil society organizations, and political institutions. You’ll practice tools that citizens can use to counter political polarization, such as perspective-taking, and dialogue.

Students in the Democracy, Peace & Conflict Academy will spend each day immersed in a blend of lectures, activities, and group discussions. Throughout the week, you'll have the opportunity to explore the following subject areas:

Democratic Peace
Electoral Violence
Democratic Endurance
Autocratization
Political Polarization
Populism
Perspective Taking
Debate and Dialogue",https://summer.georgetown.edu/programs/SHS35/democracy-peace-conflict-academy/,07a2f2af-3e5d-483b-8a16-297e1c265c29,"[""In-Person""]","[""Washington D.C.""]","[""Paid"",""Registration Fee""]","[""University"",""Law"",""Leadership""]","[""Domestic Students"",""International Students""]",true,true,2026-01-05 23:06:40.891+00,"The Democracy, Peace & Conflict Academy provides students with an immersive look at how democratic societies manage conflict through a combination of lectures, interactive exercises, and group discussions. Participants explore the role of elections in the peaceful transfer of power and the causes of electoral violence while investigating why democracies endure or erode based on the actions of leaders, civil society organizations, and political institutions. The curriculum covers a broad range of topics including democratic peace, autocratization, populism, and political polarization, allowing students to practice essential civic tools such as perspective-taking, debate, and dialogue.",true,false,"[{""label"":""Early bird"",""due_date"":""2026-01-31""},{""label"":null,""due_date"":""2026-04-15""}]","[{""label"":null,""end_date"":""2026-07-11"",""start_date"":""2026-07-05""}]","[""Freshman"",""Sophomore"",""Junior"",""Senior""]"
University of Maryland,Terp Young Scholars,The Terp Young Scholars program offers high school students the opportunity to explore academic interests while earning college credits. Participants engage in rigorous coursework and gain valuable exposure to university life. The program is designed to foster academic growth and personal development in a supportive environment.,https://exst.umd.edu/pre-college-programs/terp-young-scholars/how-program-works,088632fd-6fcf-4980-aa7a-587999a594a2,"[""In-Person""]",,"[""Paid""]","[""Program"",""Mixed"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
Math Academy,ProveIT,e Prove it! Math Academy residential summer program will not be offered in 2024. Big changes are in the works to provide our unique curriculum and high-quality resources to a wider audience of math enthusiasts. Check this site for updates and announcements.,https://proveitmath.org/,08a1517e-32d3-4031-835e-c35527f8a744,"[""In-Person""]","[""Colorado""]","[""Paid""]","[""Program"",""Mathematics"",""Private""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
Global Youth Program - Public Finance and Society,University of Pennsylvania Wharton,"Public Finance is the study of how government taxes and expenditures affect the economy and how these government programs should be designed. Public finance professors teach their students about how government taxes and expenditures affect the economy.

Business, government, and society are deeply interconnected, each influencing and shaping the others. Future business leaders must be skilled in policy analysis and able to incorporate policy issues seamlessly into their overall management approach. Even in the most capitalist and de-centralized economies, the government plays a significant role. In some sectors, such as education, the government may serve as the primary provider. In others, the private sector may operate as the provider, while the government takes on a key role as the payer. The government also acts as a safety net and, in all systems, collects revenue to fund defense, its own operations, and other obligations. 

In this course, we will explore the role of the government in various markets. We will start with understanding core microeconomic concepts, such as supply and demand, externalities, and public goods. Then, we’ll apply these models to explore why governments intervene in markets and examine the range of possible policies.  

This intensive two-week summer program is designed for a select group of high school students currently enrolled in 9th to 11th grades. Working in small groups, you will examine specific policy solutions used in different countries, assess their effectiveness, create a system that reflects your own ideals and values, and pitch it for a vote. 

All participants who successfully complete the program will earn a Wharton Global Youth Certificate of Completion.     

Wharton Public Finance and Society students will:

Build a strong foundation in microeconomics, exploring concepts like competitive markets, government intervention, externalities, and public goods — and see how they shape everyday life
Examine the critical role of government in markets, learning how policies influence citizens, businesses, and global economies
Apply game theory models and economic frameworks to better understand the strategic decisions of individuals, firms, and governments
Engage in hands-on case studies, simulations, and group activities that bring economic theories to life and connect them to real-world policy challenges
Collaborate with peers to research and design government policy solutions, building teamwork, analytical, and communication skills in the process
Develop and present a final policy brief as if advising a presidential candidate, offering evidence-based recommendations on a pressing economic issue",https://globalyouth.wharton.upenn.edu/programs-courses/cambridge-public-finance/,08a1df3f-9ea8-4931-a523-d9949d049242,"[""In-Person""]","[""International""]","[""Paid""]","[""Business"",""University""]","[""International Students"",""Domestic Students""]",true,true,2026-01-06 19:58:32.579+00,"Wharton Public Finance and Society is an intensive two-week summer program designed for high school students in grades 9 through 11 that explores how government taxes and expenditures influence the economy. Participants build a foundation in microeconomics and game theory, examining core concepts such as competitive markets, externalities, and public goods to understand why and how governments intervene in various sectors. Through hands-on case studies, simulations, and small-group collaboration, students analyze international policy solutions and develop their own evidence-based recommendations. The program culminates in the presentation of a final policy brief for a hypothetical presidential candidate, and all students who successfully complete the requirements earn a Wharton Global Youth Certificate of Completion.",,false,"[{""label"":""Priority Deadline"",""due_date"":""2026-01-28""},{""label"":""Final Deadline"",""due_date"":""2026-03-18""}]","[{""label"":""Session 1"",""end_date"":""2026-07-31"",""start_date"":""2026-07-18""}]","[""Sophomore"",""Junior"",""Freshman""]"
Summer Camp,PSU,"The Donald P. Bellisario College of Communications at Penn State offers summer camps for high school students interested in communications. These camps focus on broadcast journalism, film, and social media, providing hands-on experience in each field. Participants engage in activities like planning, shooting, and editing projects, and gain practical skills in camera operation and storytelling. The camps are taught by faculty members and take place on the University Park campus, where students also experience campus life by staying in dorms and dining in campus facilities. The program aims to help students explore their interests and potential careers in communications.",https://www.bellisario.psu.edu/departments/summer-camps,08e96af0-83fc-4741-aab4-8e3940e68e6a,"[""In-Person""]","[""Pennsylvania""]","[""Paid""]","[""Program"",""Mixed"",""University""]","[""International Students"",""Domestic Students""]",true,false,,,,false,[],[],
